index,timestamp,width,height,frame_id,center,steering,throttle,brake,speed,long,alt,brake_input,gear_state,gear_cmd,throttle_input,ax,ay,az,Anamoly
,,,,,IMG/center_2016_12_01_13_42_37_216.jpg,-0.429552708,0.9855326,0,30.18665,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_37_317.jpg,0.699138879,0.9855326,0,30.18662,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_37_419.jpg,-0.316705641,0.9855326,0,30.18664,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_37_520.jpg,0.686567236,0.9855326,0,30.18576,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_37_621.jpg,0.59249004,0.9855326,0,30.18574,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_37_722.jpg,-0.0787459,0.9855326,0,30.18604,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_37_822.jpg,-0.06925154,0.9855326,0,30.18662,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_37_925.jpg,-0.06925154,0.9855326,0,30.18645,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_38_025.jpg,0.863535874,0.9855326,0,30.1865,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_38_127.jpg,0.675132547,0.9855326,0,30.18654,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_38_228.jpg,0.257801844,0.9855326,0,30.1864,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_38_329.jpg,-0.0787459,0.9855326,0,30.18652,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_38_429.jpg,-0.08824026,0.9855326,0,30.18629,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_38_529.jpg,-0.08824026,0.9855326,0,30.18639,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_38_630.jpg,-0.08824026,0.9855326,0,30.18641,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_38_730.jpg,-0.08824026,0.9855326,0,30.18647,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_38_833.jpg,-0.06925154,0.9855326,0,30.18677,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_38_933.jpg,0,0.9855326,0,30.18649,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_39_033.jpg,0,0.9855326,0,30.18664,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_39_134.jpg,0,0.9855326,0,30.18664,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_39_236.jpg,0.650482119,0.9855326,0,30.18666,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_39_338.jpg,0.369856866,0.9855326,0,30.18661,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_39_439.jpg,0.439933892,0.9855326,0,30.18664,,,,,,,,,,1
,,,,,IMG/center_2016_12_01_13_42_39_539.jpg,-0.107229,0.9855326,0,30.18401,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_39_641.jpg,-0.1262177,0.9855326,0,30.18465,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_39_742.jpg,-0.1262177,0.9855326,0,30.18555,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_39_844.jpg,-0.1262177,0.9855326,0,30.18587,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_39_947.jpg,-0.1262177,0.9855326,0,30.18612,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_40_048.jpg,-0.0787459,0.9855326,0,30.18704,,,,,,,,,,0
,,,,,IMG/center_2016_12_01_13_42_40_150.jpg,-0.0122854,0.9855326,0,30.18667,,,,,,,,,,0
